,Date,Hours,Planned,Output
76,2022-02-24,1800-1900,40,0
77,2022-02-24,1900-2000,40,6
78,2022-02-24,2000-2100,40,43
79,2022-02-24,2100-2200,40,20
80,2022-02-25,0600-0700,40,26
81,2022-02-25,0700-0800,40,47
82,2022-02-25,0800-0900,40,41
83,2022-02-25,0900-1000,40,25
84,2022-02-25,1000-1100,40,40
85,2022-02-25,1100-1200,40,39
86,2022-02-25,1200-1300,40,40
87,2022-02-25,1300-1400,40,33
88,2022-02-25,1400-1500,40,18
89,2022-02-25,1500-1600,40,40
90,2022-02-25,1600-1700,40,4
91,2022-02-25,1700-1800,40,0
92,2022-02-25,1800-1900,40,2
93,2022-02-25,1900-2000,40,0
94,2022-02-25,2000-2100,40,20
95,2022-02-25,2100-2200,40,29
96,2022-02-28,0600-0700,40,29
97,2022-02-28,0700-0800,40,43
98,2022-02-28,0800-0900,40,42
99,2022-02-28,0900-1000,40,31
100,2022-02-28,1000-1100,40,47
101,2022-02-28,1100-1200,40,42
102,2022-02-28,1200-1300,40,42
103,2022-02-28,1300-1400,40,28
104,2022-02-28,1400-1500,40,25
105,2022-02-28,1500-1600,40,48
106,2022-02-28,1600-1700,40,44
107,2022-02-28,1700-1800,40,23
108,2022-02-28,1800-1900,40,43
109,2022-02-28,1900-2000,40,40
110,2022-02-28,2000-2100,40,45
111,2022-02-28,2100-2200,40,9
112,2022-02-28,2200-2300,40,38
113,2022-02-28,2300-0000,40,41
114,2022-02-28,0000-0100,40,40
115,2022-02-28,0100-0200,40,26
116,2022-02-28,0200-0300,40,45
117,2022-02-28,0300-0400,40,43
118,2022-02-28,0400-0500,40,40
119,2022-02-28,0500-0600,40,31
120,2022-03-01,2200-2300,40,42
121,2022-03-01,2300-0000,40,48
122,2022-03-01,0000-0100,40,27
123,2022-03-01,0100-0200,40,5
124,2022-03-01,0200-0300,40,35
125,2022-03-01,0300-0400,40,40
126,2022-03-01,0400-0500,40,42
127,2022-03-01,0500-0600,40,22
128,2022-03-01,1400-1500,40,40
129,2022-03-01,1500-1600,40,38
130,2022-03-01,1600-1700,40,35
131,2022-03-01,1700-1800,40,20
132,2022-03-01,1800-1900,40,40
133,2022-03-01,1900-2000,40,40
134,2022-03-01,2000-2100,40,41
135,2022-03-01,2100-2200,40,15
136,2022-03-01,2200-2300,40,41
137,2022-03-01,2300-0000,40,35
138,2022-03-01,0000-0100,40,42
139,2022-03-01,0100-0200,40,26
140,2022-03-01,0200-0300,40,46
141,2022-03-01,0300-0400,40,45
142,2022-03-01,0400-0500,40,44
143,2022-03-01,0500-0600,40,31
144,2022-03-02,2200-2300,40,42
145,2022-03-02,2300-0000,40,49
146,2022-03-02,0000-0100,40,41
147,2022-03-02,0100-0200,40,14
148,2022-03-02,0200-0300,40,42
149,2022-03-02,0300-0400,40,46
150,2022-03-02,0400-0500,40,41
151,2022-03-02,0500-0600,40,31
152,2022-03-02,2200-2300,40,14
153,2022-03-02,2300-0000,40,0
154,2022-03-02,0000-0100,40,37
155,2022-03-02,0100-0200,40,23
156,2022-03-02,0200-0300,40,42
157,2022-03-02,0300-0400,40,10
158,2022-03-02,0400-0500,40,18
159,2022-03-02,0500-0600,40,23
160,2022-03-02,2200-2300,40,34
161,2022-03-02,2300-0000,40,21
162,2022-03-02,0000-0100,40,9
163,2022-03-02,0100-0200,40,27
164,2022-03-02,0200-0300,40,45
165,2022-03-02,0300-0400,40,42
166,2022-03-02,0400-0500,40,35
167,2022-03-02,0500-0600,40,32
168,2022-03-03,0600-0700,40,26
169,2022-03-03,0700-0800,40,0
170,2022-03-03,0800-0900,40,30
171,2022-03-03,0900-1000,40,17
172,2022-03-03,1000-1100,40,0
173,2022-03-03,1100-1200,40,0
174,2022-03-03,1200-1300,40,0
175,2022-03-03,1300-1400,40,0
176,2022-03-03,1400-1500,40,2
177,2022-03-03,1500-1600,40,44
178,2022-03-03,1600-1700,40,32
179,2022-03-03,1700-1800,40,23
180,2022-03-03,1800-1900,40,31
181,2022-03-03,1900-2000,40,17
182,2022-03-03,2000-2100,40,5
183,2022-03-03,2100-2200,40,9
184,2022-03-03,2200-2300,40,36
185,2022-03-03,2300-0000,40,42
186,2022-03-03,0000-0100,40,44
187,2022-03-03,0100-0200,40,26
188,2022-03-03,0200-0300,40,41
189,2022-03-03,0300-0400,40,48
190,2022-03-03,0400-0500,40,43
191,2022-03-03,0500-0600,40,29
192,2022-03-04,0600-0700,40,38
193,2022-03-04,0700-0800,40,36
194,2022-03-04,0800-0900,40,38
195,2022-03-04,0900-1000,40,30
196,2022-03-04,1000-1100,40,12
197,2022-03-04,1100-1200,40,40
198,2022-03-04,1200-1300,40,42
199,2022-03-04,1300-1400,40,8
200,2022-03-04,1400-1500,40,36
201,2022-03-04,1500-1600,40,38
202,2022-03-04,1600-1700,40,40
203,2022-03-04,1700-1800,40,1
204,2022-03-04,1800-1900,40,47
205,2022-03-04,1900-2000,40,44
206,2022-03-04,2000-2100,40,49
207,2022-03-04,2100-2200,40,31
208,2022-03-04,2200-2300,40,38
209,2022-03-04,2300-0000,40,46
210,2022-03-04,0000-0100,40,45
211,2022-03-04,0100-0200,40,27
212,2022-03-04,0200-0300,40,43
213,2022-03-04,0300-0400,40,37
214,2022-03-04,0400-0500,40,43
215,2022-03-04,0500-0600,40,27
216,2022-03-07,0600-0700,43,37
217,2022-03-07,0700-0800,46,45
218,2022-03-07,0800-0900,46,36
219,2022-03-07,0900-1000,32,18
220,2022-03-07,1000-1100,46,25
221,2022-03-07,1100-1200,46,43
222,2022-03-07,1200-1300,46,39
223,2022-03-07,1300-1400,43,21
224,2022-03-07,1400-1500,43,44
225,2022-03-07,1500-1600,46,46
226,2022-03-07,1600-1700,46,32
227,2022-03-07,1700-1800,32,28
228,2022-03-07,1800-1900,46,29
229,2022-03-07,1900-2000,46,0
230,2022-03-07,2000-2100,46,0
231,2022-03-07,2100-2200,43,0
232,2022-03-08,0600-0700,43,0
233,2022-03-08,0700-0800,46,0
234,2022-03-08,0800-0900,46,0
235,2022-03-08,0900-1000,32,0
236,2022-03-08,1000-1100,46,5
237,2022-03-08,1100-1200,46,16
238,2022-03-08,1200-1300,46,46
239,2022-03-08,1300-1400,43,38
240,2022-03-08,1400-1500,43,43
241,2022-03-08,1500-1600,46,44
242,2022-03-08,1600-1700,46,36
243,2022-03-08,1700-1800,32,28
244,2022-03-08,1800-1900,46,23
245,2022-03-08,1900-2000,46,46
246,2022-03-08,2000-2100,46,46
247,2022-03-08,2100-2200,43,36
248,2022-03-08,2200-2300,43,37
249,2022-03-08,2300-0000,46,44
250,2022-03-08,0000-0100,46,45
251,2022-03-08,0100-0200,32,32
252,2022-03-08,0200-0300,46,46
253,2022-03-08,0300-0400,46,46
254,2022-03-08,0400-0500,46,46
255,2022-03-08,0500-0600,43,37
256,2022-03-09,0600-0700,43,41
257,2022-03-09,0700-0800,46,47
258,2022-03-09,0800-0900,46,49
259,2022-03-09,0900-1000,32,0
260,2022-03-09,1000-1100,46,46
261,2022-03-09,1100-1200,46,47
262,2022-03-09,1200-1300,46,47
263,2022-03-09,1300-1400,43,40
264,2022-03-09,1400-1500,43,29
265,2022-03-09,1500-1600,46,46
266,2022-03-09,1600-1700,46,35
267,2022-03-09,1700-1800,32,19
268,2022-03-09,1800-1900,46,28
269,2022-03-09,1900-2000,46,39
270,2022-03-09,2000-2100,46,46
271,2022-03-09,2100-2200,43,25
272,2022-03-09,2200-2300,43,42
273,2022-03-09,2300-0000,46,46
274,2022-03-09,0000-0100,46,46
275,2022-03-09,0100-0200,32,32
276,2022-03-09,0200-0300,46,43
277,2022-03-09,0300-0400,46,9
278,2022-03-09,0400-0500,46,39
279,2022-03-09,0500-0600,43,37
280,2022-03-10,0600-0700,43,36
281,2022-03-10,0700-0800,46,0
282,2022-03-10,0800-0900,46,0
283,2022-03-10,0900-1000,32,0
284,2022-03-10,1000-1100,46,0
285,2022-03-10,1100-1200,46,8
286,2022-03-10,1200-1300,46,47
287,2022-03-10,1300-1400,43,32
288,2022-03-10,1400-1500,43,38
289,2022-03-10,1500-1600,46,27
290,2022-03-10,1600-1700,46,38
291,2022-03-10,1700-1800,32,19
292,2022-03-10,1800-1900,46,34
293,2022-03-10,1900-2000,46,13
294,2022-03-10,2000-2100,46,0
295,2022-03-10,2100-2200,43,28
296,2022-03-10,2200-2300,43,41
297,2022-03-10,2300-0000,46,44
298,2022-03-10,0000-0100,46,0
299,2022-03-10,0100-0200,32,0
300,2022-03-10,0200-0300,46,2
301,2022-03-10,0300-0400,46,0
302,2022-03-10,0400-0500,46,0
303,2022-03-10,0500-0600,43,0
304,2022-03-11,0600-0700,43,0
305,2022-03-11,0700-0800,46,21
306,2022-03-11,0800-0900,46,16
307,2022-03-11,0900-1000,32,10
308,2022-03-11,1000-1100,46,18
309,2022-03-11,1100-1200,46,31
310,2022-03-11,1200-1300,46,3
311,2022-03-11,1300-1400,43,1
312,2022-03-11,1400-1500,43,1
313,2022-03-11,1500-1600,46,5
314,2022-03-11,1600-1700,46,15
315,2022-03-11,1700-1800,32,10
316,2022-03-11,1800-1900,46,0
317,2022-03-11,1900-2000,46,0
318,2022-03-11,2000-2100,46,0
319,2022-03-11,2100-2200,43,6
320,2022-03-11,2200-2300,43,34
321,2022-03-11,2300-0000,46,30
322,2022-03-11,0000-0100,46,31
323,2022-03-11,0100-0200,32,17
324,2022-03-11,0200-0300,46,29
325,2022-03-11,0300-0400,46,29
326,2022-03-11,0400-0500,46,30
327,2022-03-11,0500-0600,43,23
328,2022-03-14,0600-0700,43,27
329,2022-03-14,0700-0800,46,30
330,2022-03-14,0800-0900,46,30
331,2022-03-14,0900-1000,32,20
332,2022-03-14,1000-1100,46,26
333,2022-03-14,1100-1200,46,46
334,2022-03-14,1200-1300,46,46
335,2022-03-14,1300-1400,43,35
336,2022-03-14,1400-1500,43,43
337,2022-03-14,1500-1600,46,22
338,2022-03-14,1600-1700,46,46
339,2022-03-14,1700-1800,32,32
340,2022-03-14,1800-1900,46,46
341,2022-03-14,1900-2000,46,38
342,2022-03-14,2000-2100,46,23
343,2022-03-14,2100-2200,43,2
344,2022-03-15,2200-2300,43,16
345,2022-03-15,2300-0000,46,42
346,2022-03-15,0000-0100,46,38
347,2022-03-15,0100-0200,32,0
348,2022-03-15,0200-0300,46,0
349,2022-03-15,0300-0400,46,0
350,2022-03-15,0400-0500,46,0
351,2022-03-15,0500-0600,43,0
352,2022-03-15,2200-2300,43,16
353,2022-03-15,2300-0000,46,42
354,2022-03-15,0000-0100,46,38
355,2022-03-15,0100-0200,32,0
356,2022-03-15,0200-0300,46,0
357,2022-03-15,0300-0400,46,0
358,2022-03-15,0400-0500,46,0
359,2022-03-15,0500-0600,43,7
360,2022-03-15,0600-0700,43,22
361,2022-03-15,0700-0800,46,46
362,2022-03-15,0800-0900,46,46
363,2022-03-15,0900-1000,32,31
364,2022-03-15,1000-1100,46,29
365,2022-03-15,1100-1200,46,38
366,2022-03-15,1200-1300,46,16
367,2022-03-15,1300-1400,43,21
368,2022-03-15,1400-1500,43,21
369,2022-03-15,1500-1600,46,25
370,2022-03-15,1600-1700,46,20
371,2022-03-15,1700-1800,32,18
372,2022-03-15,1800-1900,46,12
373,2022-03-15,1900-2000,46,27
374,2022-03-15,2000-2100,46,29
375,2022-03-15,2100-2200,43,31
376,2022-03-15,2200-2300,43,3
377,2022-03-15,2300-0000,46,12
378,2022-03-15,0000-0100,46,0
379,2022-03-15,0100-0200,32,21
380,2022-03-15,0200-0300,46,35
381,2022-03-15,0300-0400,46,46
382,2022-03-15,0400-0500,46,49
383,2022-03-15,0500-0600,43,35
384,2022-03-16,0600-0700,43,35
385,2022-03-16,0700-0800,46,42
386,2022-03-16,0800-0900,46,40
387,2022-03-16,0900-1000,32,15
388,2022-03-16,1000-1100,46,38
389,2022-03-16,1100-1200,46,46
390,2022-03-16,1200-1300,46,39
391,2022-03-16,1300-1400,43,12
392,2022-03-16,1400-1500,43,29
393,2022-03-16,1500-1600,46,31
394,2022-03-16,1600-1700,46,39
395,2022-03-16,1700-1800,32,28
396,2022-03-16,1800-1900,46,40
397,2022-03-16,1900-2000,46,46
398,2022-03-16,2000-2100,46,46
399,2022-03-16,2100-2200,43,9
400,2022-03-16,2200-2300,43,10
401,2022-03-16,2300-0000,46,18
402,2022-03-16,0000-0100,46,24
403,2022-03-16,0100-0200,32,26
404,2022-03-16,0200-0300,46,38
405,2022-03-16,0300-0400,46,40
406,2022-03-16,0400-0500,46,28
407,2022-03-16,0500-0600,43,23
408,2022-03-17,0600-0700,43,35
409,2022-03-17,0700-0800,46,40
410,2022-03-17,0800-0900,46,40
411,2022-03-17,0900-1000,32,26
412,2022-03-17,1000-1100,46,46
413,2022-03-17,1100-1200,46,40
414,2022-03-17,1200-1300,46,40
415,2022-03-17,1300-1400,43,30
416,2022-03-18,1400-1500,43,43
417,2022-03-18,1500-1600,46,46
418,2022-03-18,1600-1700,46,46
419,2022-03-18,1700-1800,32,28
420,2022-03-18,1800-1900,46,46
421,2022-03-18,1900-2000,46,35
422,2022-03-18,2000-2100,46,46
423,2022-03-18,2100-2200,43,13
424,2022-03-18,2200-2300,43,32
425,2022-03-18,2300-0000,46,37
426,2022-03-18,0000-0100,46,27
427,2022-03-18,0100-0200,32,17
428,2022-03-18,0200-0300,46,25
429,2022-03-18,0300-0400,46,46
430,2022-03-18,0400-0500,46,46
431,2022-03-18,0500-0600,43,40
432,2022-03-21,0600-0700,43,24
433,2022-03-21,0700-0800,46,38
434,2022-03-21,0800-0900,46,29
435,2022-03-21,0900-1000,32,29
436,2022-03-21,1000-1100,46,34
437,2022-03-21,1100-1200,46,46
438,2022-03-21,1200-1300,46,46
439,2022-03-21,1300-1400,43,37
440,2022-03-21,1400-1500,43,39
441,2022-03-21,1500-1600,46,22
442,2022-03-21,1600-1700,46,20
443,2022-03-21,1700-1800,32,0
444,2022-03-21,1800-1900,46,0
445,2022-03-21,1900-2000,46,12
446,2022-03-21,2000-2100,46,35
447,2022-03-21,2100-2200,43,29
448,2022-03-21,2200-2300,43,40
449,2022-03-21,2300-0000,46,46
450,2022-03-21,0000-0100,46,45
451,2022-03-21,0100-0200,32,27
452,2022-03-21,0200-0300,46,46
453,2022-03-21,0300-0400,46,46
454,2022-03-21,0400-0500,46,43
455,2022-03-21,0500-0600,43,34
456,2022-03-22,0600-0700,43,32
457,2022-03-22,0700-0800,46,46
458,2022-03-22,0800-0900,46,46
459,2022-03-22,0900-1000,32,32
460,2022-03-22,1000-1100,46,46
461,2022-03-22,1100-1200,46,46
462,2022-03-22,1200-1300,46,46
463,2022-03-22,1300-1400,43,43
464,2022-03-22,1400-1500,43,0
465,2022-03-22,1500-1600,46,0
466,2022-03-22,1600-1700,46,0
467,2022-03-22,1700-1800,32,0
468,2022-03-22,1800-1900,46,0
469,2022-03-22,1900-2000,46,0
470,2022-03-22,2000-2100,46,0
471,2022-03-22,2100-2200,43,0
472,2022-03-22,1400-1500,43,0
473,2022-03-22,1500-1600,46,0
474,2022-03-22,1600-1700,46,0
475,2022-03-22,1700-1800,32,0
476,2022-03-22,1800-1900,46,0
477,2022-03-22,1900-2000,46,0
478,2022-03-22,2000-2100,46,0
479,2022-03-22,2100-2200,43,0
480,2022-03-22,1400-1500,43,38
481,2022-03-22,1500-1600,46,42
482,2022-03-22,1600-1700,46,45
483,2022-03-22,1700-1800,32,27
484,2022-03-22,1800-1900,46,44
485,2022-03-22,1900-2000,46,46
486,2022-03-22,2000-2100,46,46
487,2022-03-22,2100-2200,43,32
488,2022-03-23,0600-0700,43,31
489,2022-03-23,0700-0800,46,10
490,2022-03-23,0800-0900,46,30
491,2022-03-23,0900-1000,32,17
492,2022-03-23,1000-1100,46,0
493,2022-03-23,1100-1200,46,13
494,2022-03-23,1200-1300,46,42
495,2022-03-23,1300-1400,43,36
496,2022-03-23,1400-1500,43,41
497,2022-03-23,1500-1600,46,40
498,2022-03-23,1600-1700,46,46
499,2022-03-23,1700-1800,32,22
500,2022-03-23,1800-1900,46,46
501,2022-03-23,1900-2000,46,46
502,2022-03-23,2000-2100,46,43
503,2022-03-23,2100-2200,43,25
504,2022-03-23,2200-2300,43,41
505,2022-03-23,2300-0000,46,46
506,2022-03-23,0000-0100,46,44
507,2022-03-23,0100-0200,32,28
508,2022-03-23,0200-0300,46,42
509,2022-03-23,0300-0400,46,42
510,2022-03-23,0400-0500,46,44
511,2022-03-23,0500-0600,43,22
512,2022-03-24,0600-0700,43,22
513,2022-03-24,0700-0800,46,0
514,2022-03-24,0800-0900,46,25
515,2022-03-24,0900-1000,32,32
516,2022-03-24,1000-1100,46,46
517,2022-03-24,1100-1200,46,46
518,2022-03-24,1200-1300,46,32
519,2022-03-24,1300-1400,43,36
520,2022-03-24,1400-1500,43,37
521,2022-03-24,1500-1600,46,38
522,2022-03-24,1600-1700,46,39
523,2022-03-24,1700-1800,32,22
524,2022-03-24,1800-1900,46,33
525,2022-03-24,1900-2000,46,18
526,2022-03-24,2000-2100,46,32
527,2022-03-24,2100-2200,43,24
528,2022-03-24,2200-2300,43,40
529,2022-03-24,2300-0000,46,45
530,2022-03-24,0000-0100,46,44
531,2022-03-24,0100-0200,32,27
532,2022-03-24,0200-0300,46,38
533,2022-03-24,0300-0400,46,45
534,2022-03-24,0400-0500,46,44
535,2022-03-24,0500-0600,43,34
536,2022-03-25,0600-0700,43,43
537,2022-03-25,0700-0800,46,46
538,2022-03-25,0800-0900,46,46
539,2022-03-25,0900-1000,32,32
540,2022-03-25,1000-1100,46,31
541,2022-03-25,1100-1200,46,0
542,2022-03-25,1200-1300,46,2
543,2022-03-25,1300-1400,43,0
544,2022-03-25,1400-1500,43,38
545,2022-03-25,1500-1600,46,44
546,2022-03-25,1600-1700,46,47
547,2022-03-25,1700-1800,32,14
548,2022-03-25,1800-1900,46,35
549,2022-03-25,1900-2000,46,30
550,2022-03-25,2000-2100,46,35
551,2022-03-25,2100-2200,43,25
552,2022-03-25,2200-2300,43,40
553,2022-03-25,2300-0000,46,46
554,2022-03-25,0000-0100,46,45
555,2022-03-25,0100-0200,32,27
556,2022-03-25,0200-0300,46,39
557,2022-03-25,0300-0400,46,46
558,2022-03-25,0400-0500,46,46
559,2022-03-25,0500-0600,43,34
560,2022-03-28,0600-0700,43,30
561,2022-03-28,0700-0800,46,35
562,2022-03-28,0800-0900,46,37
563,2022-03-28,0900-1000,32,21
564,2022-03-28,1000-1100,46,36
565,2022-03-28,1100-1200,46,37
566,2022-03-28,1200-1300,46,36
567,2022-03-28,1300-1400,43,30
568,2022-03-28,1400-1500,43,41
569,2022-03-28,1500-1600,46,46
570,2022-03-28,1600-1700,46,44
571,2022-03-28,1700-1800,32,27
572,2022-03-28,1800-1900,46,45
573,2022-03-28,1900-2000,46,46
574,2022-03-28,2000-2100,46,46
575,2022-03-28,2100-2200,43,35
576,2022-03-28,2200-2300,43,22
577,2022-03-28,2300-0000,46,0
578,2022-03-28,0000-0100,46,0
579,2022-03-28,0100-0200,32,0
580,2022-03-28,0200-0300,46,0
581,2022-03-28,0300-0400,46,0
582,2022-03-28,0400-0500,46,0
583,2022-03-28,0500-0600,43,0
584,2022-03-29,0600-0700,43,0
585,2022-03-29,0700-0800,46,0
586,2022-03-29,0800-0900,46,12
587,2022-03-29,0900-1000,32,8
588,2022-03-29,1000-1100,46,0
589,2022-03-29,1100-1200,46,0
590,2022-03-29,1200-1300,46,0
591,2022-03-29,1300-1400,43,0
592,2022-03-29,1400-1500,43,39
593,2022-03-29,1500-1600,46,46
594,2022-03-29,1600-1700,46,27
595,2022-03-29,1700-1800,32,17
596,2022-03-29,1800-1900,46,25
597,2022-03-29,1900-2000,46,22
598,2022-03-29,2000-2100,46,39
599,2022-03-29,2100-2200,43,27
600,2022-03-29,2200-2300,43,27
601,2022-03-29,2300-0000,46,41
602,2022-03-29,0000-0100,46,36
603,2022-03-29,0100-0200,32,30
604,2022-03-29,0200-0300,46,46
605,2022-03-29,0300-0400,46,46
606,2022-03-29,0400-0500,46,46
607,2022-03-29,0500-0600,43,32
608,2022-03-30,0600-0700,43,2
609,2022-03-30,0700-0800,46,35
610,2022-03-30,0800-0900,46,36
611,2022-03-30,0900-1000,32,21
612,2022-03-30,1000-1100,46,31
613,2022-03-30,1100-1200,46,5
614,2022-03-30,1200-1300,46,37
615,2022-03-30,1300-1400,43,26
616,2022-03-30,1400-1500,43,36
617,2022-03-30,1500-1600,46,46
618,2022-03-30,1600-1700,46,46
619,2022-03-30,1700-1800,32,28
620,2022-03-30,1800-1900,46,46
621,2022-03-30,1900-2000,46,46
622,2022-03-30,2000-2100,46,12
623,2022-03-30,2100-2200,43,22
624,2022-03-30,2200-2300,43,0
625,2022-03-30,2300-0000,46,15
626,2022-03-30,0000-0100,46,46
627,2022-03-30,0100-0200,32,32
628,2022-03-30,0200-0300,46,46
629,2022-03-30,0300-0400,46,46
630,2022-03-30,0400-0500,46,40
631,2022-03-30,0500-0600,43,41
632,2022-03-31,0600-0700,43,30
633,2022-03-31,0700-0800,46,35
634,2022-03-31,0800-0900,46,33
635,2022-03-31,0900-1000,32,17
636,2022-03-31,1000-1100,46,14
637,2022-03-31,1100-1200,46,33
638,2022-03-31,1200-1300,46,14
639,2022-03-31,1300-1400,43,20
640,2022-03-31,1400-1500,43,41
641,2022-03-31,1500-1600,46,46
642,2022-03-31,1600-1700,46,45
643,2022-03-31,1700-1800,32,17
644,2022-03-31,1800-1900,46,23
645,2022-03-31,1900-2000,46,15
646,2022-03-31,2000-2100,46,25
647,2022-03-31,2100-2200,43,36
648,2022-03-31,2200-2300,43,40
649,2022-03-31,2300-0000,46,46
650,2022-03-31,0000-0100,46,46
651,2022-03-31,0100-0200,32,32
652,2022-03-31,0200-0300,46,40
653,2022-03-31,0300-0400,46,11
654,2022-03-31,0400-0500,46,9
655,2022-03-31,0500-0600,43,0
656,2022-04-01,0600-0700,43,0
657,2022-04-01,0700-0800,46,0
658,2022-04-01,0800-0900,46,0
659,2022-04-01,0900-1000,32,0
660,2022-04-01,1000-1100,46,36
661,2022-04-01,1100-1200,46,47
662,2022-04-01,1200-1300,46,20
663,2022-04-01,1300-1400,43,28
664,2022-04-01,1400-1500,43,37
665,2022-04-01,1500-1600,46,40
666,2022-04-01,1600-1700,46,39
667,2022-04-01,1700-1800,32,24
668,2022-04-01,1800-1900,46,40
669,2022-04-01,1900-2000,46,38
670,2022-04-01,2000-2100,46,13
671,2022-04-01,2100-2200,43,34
672,2022-04-01,2200-2300,43,43
673,2022-04-01,2300-0000,46,46
674,2022-04-01,0000-0100,46,46
675,2022-04-01,0100-0200,32,32
676,2022-04-01,0200-0300,46,46
677,2022-04-01,0300-0400,46,46
678,2022-04-01,0400-0500,46,46
679,2022-04-01,0500-0600,43,34
680,2022-04-03,2200-2300,43,14
681,2022-04-03,2300-0000,46,26
682,2022-04-03,0000-0100,46,26
683,2022-04-03,0100-0200,32,25
684,2022-04-03,0200-0300,46,34
685,2022-04-03,0300-0400,46,30
686,2022-04-03,0400-0500,46,18
687,2022-04-03,0500-0600,43,26
688,2022-04-04,1400-1500,43,43
689,2022-04-04,1500-1600,46,46
690,2022-04-04,1600-1700,46,46
691,2022-04-04,1700-1800,32,32
692,2022-04-04,1800-1900,46,46
693,2022-04-04,1900-2000,46,46
694,2022-04-04,2000-2100,46,46
695,2022-04-04,2100-2200,43,43
696,2022-04-04,2200-2300,43,33
697,2022-04-04,2300-0000,46,43
698,2022-04-04,0000-0100,46,36
699,2022-04-04,0100-0200,32,9
700,2022-04-04,0200-0300,46,5
701,2022-04-04,0300-0400,46,41
702,2022-04-04,0400-0500,46,38
703,2022-04-04,0500-0600,43,32
704,2022-04-05,0600-0700,43,41
705,2022-04-05,0700-0800,46,38
706,2022-04-05,0800-0900,46,44
707,2022-04-05,0900-1000,32,26
708,2022-04-05,1000-1100,46,18
709,2022-04-05,1100-1200,46,42
710,2022-04-05,1200-1300,46,44
711,2022-04-05,1300-1400,43,34
712,2022-04-05,1400-1500,46,0
713,2022-04-05,1500-1600,50,16
714,2022-04-05,1600-1700,50,36
715,2022-04-05,1700-1800,33,33
716,2022-04-05,1800-1900,50,50
717,2022-04-05,1900-2000,50,50
718,2022-04-05,2000-2100,50,50
719,2022-04-05,2100-2200,46,44
720,2022-04-05,2200-2300,46,39
721,2022-04-05,2300-0000,50,48
722,2022-04-05,0000-0100,50,45
723,2022-04-05,0100-0200,33,26
724,2022-04-05,0200-0300,50,29
725,2022-04-05,0300-0400,50,46
726,2022-04-05,0400-0500,50,48
727,2022-04-05,0500-0600,46,29
728,2022-04-06,0600-0700,34,37
729,2022-04-06,0700-0800,37,36
730,2022-04-06,0800-0900,37,33
731,2022-04-06,0900-1000,24,24
732,2022-04-06,1000-1100,37,16
733,2022-04-06,1100-1200,37,9
734,2022-04-06,1200-1300,37,36
